date,avg_temp,min_temp,max_temp,precipitation
"December, 2025",33.4,26.4,40.4,3.33
"November, 2025",46.5,39.3,53.7,1.89
"October, 2025",58.5,50.6,66.5,4.69
"September, 2025",70,61.9,78.1,2.63
"August, 2025",73.9,64.9,82.9,1.8
"July, 2025",80,71.4,88.7,3.91
"June, 2025",73.3,65,81.6,2.48
"May, 2025",62.3,54.3,70.3,5.68
"April, 2025",54.4,45,63.9,2.89
"March, 2025",46.3,36.7,55.8,4.67
"February, 2025",34.6,28,41.2,2.54
"January, 2025",31.2,25,37.4,0.55
"December, 2024",37.7,31.2,44.1,4.86
"November, 2024",51.1,43,59.1,3.22
"October, 2024",60.5,50.7,70.2,0.02
"September, 2024",68.4,60.6,76.2,1.22
"August, 2024",75.6,67.4,83.8,7.67
"July, 2024",79.2,70.8,87.5,3.74
"June, 2024",74.9,65.5,84.3,2.31
"May, 2024",64.2,55.9,72.6,3.63
"April, 2024",53.2,44.6,61.8,3.71
"March, 2024",46.8,38.9,54.6,9.22
"February, 2024",38.4,31.3,45.5,1.89
"January, 2024",36.3,30.8,41.9,5.73
"December, 2023",43.4,37.4,49.4,7.1
"November, 2023",45.7,37.8,53.5,2.87
"October, 2023",60.4,52.5,68.2,4.14
"September, 2023",69.3,61.9,76.7,11.97
"August, 2023",74.5,67,81.9,6.17
"July, 2023",78.8,70.4,87.2,5.36
"June, 2023",69.5,60.4,78.6,1.64
"May, 2023",61.4,51.3,71.4,1.81
"April, 2023",55.8,46.1,65.4,7.28
"March, 2023",43.4,35.7,51,3.35
"February, 2023",39.3,30.7,47.9,1.33
"January, 2023",42.4,36.3,48.6,4.47
"December, 2022",37.4,30.5,44.4,4.9
"November, 2022",49.9,41.9,57.8,3.24
"October, 2022",56.6,48.4,64.8,5.44
"September, 2022",69.3,60.9,77.7,4.06
"August, 2022",79.2,70.8,87.7,1.65
"July, 2022",79.5,70.6,88.5,3.21
"June, 2022",71,62,80,3.4
"May, 2022",63.6,54.5,72.6,4.66
"April, 2022",51.5,42.9,60,4.7
"March, 2022",43.9,35,52.8,2.44
"February, 2022",36,26.8,45.3,3.16
"January, 2022",30,22.3,37.6,3.69
"December, 2021",43.1,36.9,49.4,1.42
"November, 2021",46,38,53.9,1.02
"October, 2021",62.6,55.4,69.9,5.26
"September, 2021",70.4,62.8,77.9,8.82
"August, 2021",77.4,70.3,84.6,7.2
"July, 2021",76.2,68.3,84.2,8.23
"June, 2021",73.6,64.2,83.1,2.85
"May, 2021",61.6,52.2,71.1,4.56
"April, 2021",53.2,43.4,63,2.71
