date,avg_temp,min_temp,max_temp,precipitation
"December, 2025",33.8,26.8,40.7,3.36
"November, 2025",47,40.1,53.9,1.94
"October, 2025",59,51.4,66.6,4.27
"September, 2025",70.6,62.9,78.4,2.63
"August, 2025",73.9,65.3,82.5,1.96
"July, 2025",80.3,72.3,88.3,3.64
"June, 2025",73.4,65.7,81,2.58
"May, 2025",62.5,55,70,5.49
"April, 2025",54.6,45.7,63.4,2.95
"March, 2025",46.9,37.6,56.2,4.69
"February, 2025",35.4,29.1,41.7,2.86
"January, 2025",31.7,25.6,37.7,0.65
"December, 2024",38,31.7,44.4,4.7
"November, 2024",51.7,43.9,59.5,3.22
"October, 2024",60.9,51.5,70.3,0.01
"September, 2024",69.1,61.7,76.5,1.17
"August, 2024",76,68,84,7.09
"July, 2024",79.5,71.7,87.3,3.6
"June, 2024",75.3,66.3,84.2,2.1
"May, 2024",64.4,56.5,72.3,3.26
"April, 2024",53.6,45.3,61.8,3.83
"March, 2024",47.3,39.6,55,9.17
"February, 2024",39.1,32.2,46,1.98
"January, 2024",36.9,31.5,42.4,5.72
"December, 2023",43.9,38,49.9,7.48
"November, 2023",46.1,38.3,53.9,2.66
"October, 2023",60.8,53.2,68.5,3.85
"September, 2023",69.9,62.8,77,11.88
"August, 2023",75.1,67.8,82.3,6.01
"July, 2023",79.1,71.3,86.9,5.37
"June, 2023",69.8,61.1,78.4,1.76
"May, 2023",61.5,51.9,71.1,2.26
"April, 2023",55.9,46.7,65.1,6.85
"March, 2023",43.8,36.1,51.4,3.39
"February, 2023",40.1,31.7,48.5,1.43
"January, 2023",43.2,37.2,49.2,4.39
"December, 2022",38.1,31.3,44.9,4.78
"November, 2022",50.4,42.8,58.1,2.94
"October, 2022",56.8,49,64.7,5.84
"September, 2022",69.8,61.6,78.1,3.51
"August, 2022",79.6,71.4,87.8,1.69
"July, 2022",80.2,71.7,88.8,2.34
"June, 2022",71.5,62.9,80.2,3.03
"May, 2022",63.7,55.2,72.2,4.93
"April, 2022",51.7,43.6,59.8,4.18
"March, 2022",44.5,35.8,53.1,2.45
"February, 2022",36.7,27.5,45.8,3.14
"January, 2022",30.5,23,38,4.01
"December, 2021",43.5,37.4,49.6,1.47
"November, 2021",46.3,38.5,54.1,0.96
"October, 2021",63.1,56.1,70,5.26
"September, 2021",71,63.6,78.3,8.53
"August, 2021",77.8,71,84.6,8.02
"July, 2021",76.8,69.2,84.4,8.58
"June, 2021",73.5,64.4,82.6,2.92
"May, 2021",62,52.7,71.4,4.52
"April, 2021",53.3,43.8,62.7,2.56
"March, 2021",44.9,36,53.7,3.24
"February, 2021",33.6,28.2,39.1,4.67
"January, 2021",35.3,29.4,41.2,2.38
"December, 2020",39.1,32.5,45.7,4.22
"November, 2020",51.9,43.2,60.6,4.09
"October, 2020",58.5,51.5,65.5,5.23
"September, 2020",69.1,61.3,77,3.73
"August, 2020",77.4,69.8,85.1,3.96
"July, 2020",80.6,72.7,88.6,7.16
"June, 2020",73.4,64.2,82.5,2.28
"May, 2020",59.7,50.8,68.7,1.66
"April, 2020",49.4,41.7,57.2,4.03
"March, 2020",47.4,39.7,55.1,3.89
"February, 2020",40.1,33.4,46.8,2.86
"January, 2020",39.2,32.4,46.1,1.91
"December, 2019",38.2,32,44.3,7.14
"November, 2019",43.5,36,51,1.8
"October, 2019",60.1,52.9,67.3,6.36
"September, 2019",70.5,62,79,1.01
"August, 2019",76.1,68.4,83.7,4.14
"July, 2019",79.9,71.6,88.2,6.26
"June, 2019",71.7,63.5,79.8,5.38
"May, 2019",61.8,54,69.5,7.06
"April, 2019",54.1,46,62.2,4.22
"March, 2019",40.8,33.3,48.2,3.98
"February, 2019",35.9,28.9,43,3.54
"January, 2019",32.8,25.5,40.1,3.96
"December, 2018",39.8,33.7,45.9,6.82
"November, 2018",44.3,37.9,50.6,7.98
"October, 2018",57.9,50.9,64.9,3.4
"September, 2018",71.2,64.9,77.4,6.22
"August, 2018",78.6,71.4,85.7,6.52
"July, 2018",77.8,69.8,85.9,6.05
"June, 2018",71.3,62.8,79.8,3.08
"May, 2018",65.7,56.8,74.6,3.78
"April, 2018",48.2,40,56.2,5.08
"March, 2018",39.9,33.3,46.5,4.77
"February, 2018",41.2,33.4,49.2,5.93
"January, 2018",31.3,23.5,39.1,2.14
"December, 2017",35.3,29.4,41,1.86
"November, 2017",46.4,38.1,54.7,1.69
"October, 2017",63.9,55.6,72.2,4.46
"September, 2017",70.6,62.6,78.7,1.98
"August, 2017",74.2,66.6,81.7,3.8
"July, 2017",76.8,69.2,84.5,4.47
"June, 2017",72,63.5,80.4,4.38
"May, 2017",60.9,53.4,68.3,6.44
"April, 2017",56.2,47.9,64.6,3.98
"March, 2017",39.5,31.7,47.4,5
"February, 2017",41.4,33.5,49.4,1.99
"January, 2017",38.7,33.3,44.1,4.45
"December, 2016",38.8,32.4,45.2,3.11
"November, 2016",50.1,42.3,58,4.66
"October, 2016",59.1,51,67.2,3.81
"September, 2016",71.8,63.9,79.7,2.5
"August, 2016",79.4,71.6,87.3,1.29
"July, 2016",79.2,71,87.3,6.15
"June, 2016",72.3,63.1,81.4,2.21
"May, 2016",61.8,53.6,69.9,3.76
"April, 2016",52,42.7,61.3,1.52
"March, 2016",48.3,39.3,57.2,1.34
"February, 2016",37.6,29.6,45.6,4.14
"January, 2016",34.5,27.1,41.8,4.13
"December, 2015",50.1,43.6,56.7,4.75
"November, 2015",52.2,44.5,60,1.62
"October, 2015",57.4,48.9,65.9,3.87
"September, 2015",73.3,64.3,82.3,2.68
"August, 2015",78.2,69.3,87,2.21
"July, 2015",78.2,70.3,86,3
"June, 2015",71.2,63.5,78.8,5.48
"May, 2015",66.4,56.3,76.6,1.92
"April, 2015",52.6,43.5,61.8,1.9
"March, 2015",37.3,29.2,45.4,4.73
"February, 2015",23.6,15.1,32.2,2.14
"January, 2015",29.8,22.9,36.8,4.99
"December, 2014",40.7,35.3,46.1,6.01
"November, 2014",44.6,37.5,51.8,4.38
"October, 2014",59.6,52.4,66.8,4.6
"September, 2014",69.6,61.3,77.8,1.42
"August, 2014",74.1,65.7,82.4,2.77
"July, 2014",76.2,68.2,84.2,5.2
"June, 2014",72,63.5,80.5,3.84
"May, 2014",63,54.6,71.4,4.73
"April, 2014",50.9,41.5,60.3,6.9
"March, 2014",37.1,28.9,45.4,3.92
"February, 2014",30.9,24,37.7,4.99
"January, 2014",28.4,20.8,36.1,2.76
"December, 2013",38,31.5,44.5,4.69
"November, 2013",45,37.3,52.7,3.06
"October, 2013",59.8,51.8,67.8,0.45
"September, 2013",67.1,57.9,76.4,2.29
"August, 2013",74.4,66.8,81.9,3.23
"July, 2013",80,72.7,87.2,2.98
"June, 2013",72.2,64,80.5,8.69
"May, 2013",61.6,52.9,70.4,5.78
"April, 2013",51.8,43,60.6,1.51
"March, 2013",39.9,33.3,46.5,2.75
"February, 2013",34,27.8,40.2,3.4
"January, 2013",35.6,29,42.2,2.55
"December, 2012",41.7,35.7,47.7,4.99
"November, 2012",43.7,36.8,50.5,1.53
"October, 2012",58.8,52.1,65.5,3.04
"September, 2012",69.2,61.4,77,3.98
"August, 2012",77,69,85.1,3.31
"July, 2012",79.4,70.7,88,3.05
"June, 2012",71.4,62.9,79.9,4.73
"May, 2012",64.6,57.3,71.9,5.28
"April, 2012",54.2,44.8,63.6,3.23
"March, 2012",50.3,41.6,58.9,1.09
"February, 2012",40.7,33.4,47.9,1.31
"January, 2012",37.4,29.7,45.1,2.76
"December, 2011",42.7,34.9,50.6,3.99
"November, 2011",51.1,43,59.1,3.33
"October, 2011",57.9,50.1,65.7,5.38
"September, 2011",70.5,63.9,77,7.29
"August, 2011",75.9,68,83.7,17.83
"July, 2011",80.6,71.4,89.8,2.6
"June, 2011",73.1,64.6,81.5,3.26
"May, 2011",64,56.1,71.8,4.39
"April, 2011",53.5,45.2,61.8,5.28
"March, 2011",42.4,34.5,50.3,5.82
"February, 2011",35.5,26.6,44.4,3.45
"January, 2011",29.8,23.6,35.9,4.12
"December, 2010",33.2,27.3,39.2,3.79
"November, 2010",47.7,40.7,54.7,2.04
"October, 2010",58.4,50.3,66.5,4.53
"September, 2010",70.9,62.6,79.2,3.58
"August, 2010",77,69,84.9,3.01
"July, 2010",81.2,72.1,90.3,2.67
"June, 2010",75.2,66.1,84.2,2.08
"May, 2010",64.8,55.3,74.4,2.73
"April, 2010",56.6,46.7,66.4,2.95
"March, 2010",47.6,39.8,55.3,9.72
"February, 2010",33.2,27.8,38.7,5.74
"January, 2010",32.8,26.2,39.4,1.94
"December, 2009",36.1,29.4,42.8,6.77
"November, 2009",51.2,44.8,57.5,1.36
"October, 2009",55.5,48.1,62.8,5.58
"September, 2009",66.7,59.1,74.3,2.3
"August, 2009",76.6,69.2,84,4.13
"July, 2009",73.5,65.2,81.8,5.68
"June, 2009",68,60.9,75.2,8.14
"May, 2009",61.8,53.6,70,4.06
"April, 2009",53.2,44.5,61.9,4.16
"March, 2009",41.4,33.4,49.4,1.64
"February, 2009",36.3,27.8,44.9,0.72
"January, 2009",28.3,21.9,34.7,2.84
"December, 2008",38.1,30.6,45.6,5.9
"November, 2008",45.8,39.5,52.1,3.17
"October, 2008",55.6,47,64.3,3.29
"September, 2008",69.3,61.9,76.8,6.57
"August, 2008",73.5,64.5,82.6,3.59
"July, 2008",78.1,69.7,86.5,3.2
"June, 2008",74.1,64.8,83.4,3.99
"May, 2008",59.3,50.2,68.4,3.77
"April, 2008",53.4,44.6,62.2,2.66
"March, 2008",42.2,34.1,50.4,4.12
"February, 2008",35.8,27.9,43.8,5.51
"January, 2008",36.2,29.2,43.2,2.28
"December, 2007",37.2,31.5,42.9,4.89
"November, 2007",45.2,38,52.4,2.67
"October, 2007",63.6,55.7,71.5,4.7
"September, 2007",70,61.2,78.8,1.41
"August, 2007",74.7,66.7,82.6,5.59
"July, 2007",75.3,67.3,83.3,6.1
"June, 2007",71.6,62.7,80.5,4.6
"May, 2007",64,53.8,74.2,1.87
"April, 2007",49.5,41.3,57.7,10.23
"March, 2007",41.3,32,50.5,4.58
"February, 2007",28.2,21.2,35.2,1.82
"January, 2007",37.5,30.5,44.4,3.28
"December, 2006",43.4,36.2,50.6,2.19
"November, 2006",51.3,44.7,57.9,6.27
"October, 2006",56.1,47.8,64.4,6.42
"September, 2006",66.6,59.1,74,4.1
"August, 2006",76.2,68.3,84.1,3.67
"July, 2006",78.2,69.8,86.6,4.79
"June, 2006",71,63.3,78.6,7.52
"May, 2006",62.2,53.2,71.2,4.01
"April, 2006",54.2,44.2,64.1,4.66
"March, 2006",42.4,34.2,50.5,0.91
"February, 2006",35.2,27.6,42.8,2.11
"January, 2006",40,32.3,47.7,4.87
"December, 2005",34.8,28.4,41,4.03
"November, 2005",49.1,40.7,57.5,4.18
"October, 2005",57.8,50.9,64.6,14.34
"September, 2005",72.8,63.7,81.8,1.18
"August, 2005",79,71.2,86.8,1.37
"July, 2005",77.3,69.6,85,4.58
"June, 2005",72.9,64.1,81.7,3.14
"May, 2005",57.9,49.3,66.4,1.97
"April, 2005",53.5,43.8,63.3,4.5
"March, 2005",38.4,30.8,46.1,4.39
"February, 2005",35.7,28.6,42.8,2.63
"January, 2005",31.1,24.4,37.8,4.13
"December, 2004",37.7,30.5,44.9,3.85
"November, 2004",48.1,40.6,55.6,4.2
"October, 2004",56.4,49.2,63.6,1.3
"September, 2004",69.5,61.7,77.3,9.02
"August, 2004",74.1,66.9,81.3,4.62
"July, 2004",74.4,67.3,81.5,7.98
"June, 2004",70.9,62.2,79.5,2.99
"May, 2004",64.2,55.2,73.2,4.48
"April, 2004",52.5,43.3,61.7,5.18
"March, 2004",43.1,35.7,50.5,3.14
"February, 2004",34.8,27,42.6,2.63
"January, 2004",25.2,18.6,31.9,2.05
"December, 2003",37.4,30.4,44.3,5.17
"November, 2003",49.9,42.8,57,4.57
"October, 2003",55.1,46.8,63.4,4.45
"September, 2003",68.4,61.6,75.2,4.77
"August, 2003",76.8,69.3,84.2,5.51
"July, 2003",76.2,68.2,84.2,3.31
"June, 2003",68.4,60.4,76.5,9.43
"May, 2003",57.6,50.1,65,3.89
"April, 2003",48.8,40.4,57.1,3.43
"March, 2003",41.9,32.5,51.3,3.94
"February, 2003",29.5,23,35.9,4.56
"January, 2003",27.7,21.4,33.9,2.33
"December, 2002",35.6,29.2,41.8,4.21
"November, 2002",45.3,38.5,52,4.6
"October, 2002",55.5,48.2,62.7,6.98
"September, 2002",69.8,61.1,78.3,5.53
"August, 2002",76.8,68.3,85.3,5.37
"July, 2002",78.4,69.4,87.5,1.07
"June, 2002",71.2,61.9,80.6,4.27
"May, 2002",59.6,50.3,68.8,4.08
"April, 2002",54.4,45.2,63.7,3.48
"March, 2002",43.5,34.6,52.4,3.98
"February, 2002",39.9,31.2,48.6,0.66
"January, 2002",39.5,32.6,46.4,1.97
"December, 2001",43.6,36.3,50.8,2.17
"November, 2001",51.7,43.1,60.3,0.97
"October, 2001",57.8,48.3,67.3,0.56
"September, 2001",67.3,58.7,75.9,4.31
"August, 2001",77.9,69.4,86.4,3.26
"July, 2001",73.2,64.2,82.2,2.83
"June, 2001",73,64.5,81.4,5.01
"May, 2001",62.4,53.6,71.2,2.72
"April, 2001",52.4,43.1,61.6,1.68
"March, 2001",39.2,32.4,46.1,7.66
"February, 2001",35.4,27.5,43.4,2.08
"January, 2001",32.9,26.4,39.4,3.01
"December, 2000",31,23.8,38.2,3.71
"November, 2000",45.1,38,52.2,3.71
"October, 2000",56.8,47.7,65.9,0.6
"September, 2000",66.2,57.9,74.6,4.59
"August, 2000",72.9,65.6,80.3,3.7
"July, 2000",72.5,64.7,80.2,6.68
"June, 2000",71.1,62.4,79.7,3.79
"May, 2000",62.6,53.8,71.5,4.69
"April, 2000",49.9,42,57.8,3.7
"March, 2000",46.3,37.5,55,3.76
"February, 2000",36.7,29.5,44,1.87
"January, 2000",31.3,23.6,38.9,2.95
"December, 1999",39.5,32.6,46.5,2.94
"November, 1999",50.1,42.2,57.9,2.34
"October, 1999",55.6,46.8,64.5,3.21
"September, 1999",68.9,61.1,76.6,8.48
"August, 1999",75.1,66.8,83.4,4.31
"July, 1999",80.2,71.1,89.2,0.91
"June, 1999",72.6,63.5,81.6,0.82
"May, 1999",61.8,53.1,70.5,3.83
"April, 1999",52.2,42.5,61.9,1.86
"March, 1999",41.9,32.9,50.8,4.29
"February, 1999",37.2,29.7,44.7,3.23
"January, 1999",33.7,25.9,41.5,7.34
"December, 1998",42.3,35.1,49.5,1.05
"November, 1998",47.6,40,55.2,1.32
"October, 1998",57.4,49.6,65.3,2.21
"September, 1998",69.8,60.9,78.8,2.69
"August, 1998",76.4,67.9,84.9,2.58
"July, 1998",76.4,68,84.8,1.24
"June, 1998",68.9,61.3,76.5,5.52
"May, 1998",63.3,54.5,72,6.17
"April, 1998",52.6,43.9,61.4,5.55
"March, 1998",44,36.4,51.5,4.9
"February, 1998",40.1,33.5,46.7,4.65
"January, 1998",40,33.4,46.5,4.84
"December, 1997",37.9,31.4,44.4,3.98
"November, 1997",44.1,37.5,50.7,4.53
"October, 1997",56.6,48,65.1,2.11
"September, 1997",66.7,58,75.4,2.14
"August, 1997",73.1,64.8,81.5,4.7
"July, 1997",75.4,66.1,84.7,6.27
"June, 1997",70.2,60.8,79.5,2.45
"May, 1997",58.3,49.1,67.4,3.25
"April, 1997",50.2,40.7,59.7,3.69
"March, 1997",41.8,33.5,50,4.69
"February, 1997",39.6,31.6,47.5,2.39
"January, 1997",31.9,23.9,39.8,3.4
"December, 1996",40.7,34.4,47,6.79
"November, 1996",42.5,35.4,49.6,2.75
"October, 1996",56,47.6,64.5,7.33
"September, 1996",68,60.6,75.4,5.42
"August, 1996",73.9,66.2,81.5,2.61
"July, 1996",73.1,65.8,80.4,7.61
"June, 1996",70.8,62.8,78.7,4.86
"May, 1996",59.4,50.4,68.4,2.8
"April, 1996",50.9,42.5,59.4,5.31
"March, 1996",38,29.8,46.3,4.01
"February, 1996",33.3,26.1,40.5,2.25
"January, 1996",30.3,23,37.6,5.32
"December, 1995",32.1,25.8,38.5,2.2
"November, 1995",43.3,35.7,51,5.38
"October, 1995",60.4,51.4,69.4,6.08
"September, 1995",67.3,58.9,75.7,3.55
"August, 1995",76.8,67.2,86.5,0.48
"July, 1995",77.7,69.6,85.8,5.47
"June, 1995",70.8,62.1,79.5,2.35
"May, 1995",60.4,51.9,69,3.06
"April, 1995",50.1,41.1,59,2.05
"March, 1995",43.9,36.3,51.6,1.58
"February, 1995",30.4,22.7,38.1,2.83
"January, 1995",37.1,30.8,43.4,3.67
"December, 1994",41.1,33.6,48.6,2.77
"November, 1994",50.4,42.3,58.5,4
"October, 1994",56.5,47.5,65.4,1.28
"September, 1994",66.8,58.5,75.1,3.08
"August, 1994",72.5,64.3,80.8,5.49
"July, 1994",78.5,70.3,86.6,3.77
