date,avg_temp,min_temp,max_temp,precipitation
"December, 2025",33.6,26.5,40.8,3.36
"November, 2025",46.7,39.4,54,1.92
"October, 2025",58.5,50.6,66.5,4.31
"September, 2025",70,62,78.1,2.78
"August, 2025",73.6,64.7,82.4,1.81
"July, 2025",79.8,71.2,88.3,3.46
"June, 2025",72.8,64.7,81,2.52
"May, 2025",62,54.1,69.9,5.21
"April, 2025",54.2,44.9,63.4,2.72
"March, 2025",46.4,37,56,4.74
"February, 2025",35.1,28.4,41.8,2.89
"January, 2025",31.6,25.4,37.7,0.61
"December, 2024",38,31.4,44.5,4.91
"November, 2024",51.4,43.2,59.5,3.29
"October, 2024",60.5,50.8,70.1,0.01
"September, 2024",68.4,60.6,76.1,1.19
"August, 2024",75.4,67.2,83.7,6.53
"July, 2024",78.6,70.6,86.6,3.26
"June, 2024",74.6,65.4,83.7,2.32
"May, 2024",63.7,55.4,71.9,3.09
"April, 2024",53,44.5,61.5,3.71
"March, 2024",46.9,38.9,54.8,9.69
"February, 2024",38.6,31.6,45.5,1.94
"January, 2024",36.4,30.8,42,5.86
"December, 2023",43.3,37.2,49.5,7.58
"November, 2023",45.6,37.6,53.7,2.5
"October, 2023",60,51.9,68.1,4.03
"September, 2023",69.2,61.7,76.7,12.61
"August, 2023",74.3,66.8,81.8,5.8
"July, 2023",78.5,70.3,86.6,5.01
"June, 2023",69.2,60.3,78.1,1.45
"May, 2023",61,51.3,70.7,2
"April, 2023",55.3,45.9,64.6,6.96
"March, 2023",43.3,35.6,51.1,3.49
"February, 2023",39.5,31,48.1,1.48
"January, 2023",42.5,36.3,48.6,4.44
"December, 2022",37.7,30.9,44.6,4.43
"November, 2022",50.1,42.2,58,2.98
"October, 2022",56.6,48.4,64.7,5.68
"September, 2022",69.4,60.8,77.9,3.42
"August, 2022",79.1,70.8,87.4,1.46
"July, 2022",79.5,70.7,88.2,2.27
"June, 2022",70.9,62.1,79.6,3.24
"May, 2022",63,54,71.8,4.58
"April, 2022",51.2,42.7,59.6,4.06
"March, 2022",43.9,35.1,52.7,2.61
"February, 2022",36.2,27,45.4,3.26
"January, 2022",30.3,22.5,38.1,4.07
"December, 2021",43.3,37.1,49.6,1.57
"November, 2021",46.2,38,54.3,0.9
"October, 2021",62.6,55,70.1,4.91
"September, 2021",70.4,62.6,78.2,7.51
"August, 2021",77.2,70,84.4,7.65
"July, 2021",76,68,84,7.79
"June, 2021",73,63.6,82.3,2.36
"May, 2021",61.5,52,71.1,4.41
"April, 2021",52.7,43,62.5,2.77
"March, 2021",44.4,35.3,53.5,3.25
"February, 2021",33.5,27.8,39.2,4.68
"January, 2021",35,28.9,41.1,2.31
"December, 2020",38.8,32,45.6,3.96
"November, 2020",51.5,42.5,60.5,4.55
"October, 2020",57.9,50.5,65.4,5.3
"September, 2020",68.5,60.3,76.7,3.69
"August, 2020",76.8,68.8,84.8,3.85
"July, 2020",80.1,71.7,88.4,5.82
"June, 2020",72.8,63.2,82.3,2.24
"May, 2020",59,49.6,68.5,1.5
"April, 2020",49,41,57,4.05
"March, 2020",46.9,39,54.8,3.96
"February, 2020",39.6,32.6,46.6,3.04
"January, 2020",38.8,32,45.7,1.91
"December, 2019",38,31.6,44.3,7.61
"November, 2019",43.1,35.2,51,1.75
"October, 2019",59.4,51.8,67.1,5.8
"September, 2019",69.8,61.1,78.4,0.95
"August, 2019",75.6,67.6,83.5,3.55
"July, 2019",79.4,70.6,88.1,5.83
"June, 2019",71.2,62.6,79.6,5.15
"May, 2019",61,53,69,6.71
"April, 2019",53.3,44.9,61.6,4.5
"March, 2019",40.4,32.8,48,3.93
"February, 2019",35.5,28.2,42.8,3.54
"January, 2019",32.4,25,39.8,4.06
"December, 2018",39.6,33.4,45.8,7.03
"November, 2018",44,37.4,50.7,8.02
"October, 2018",57.6,50.2,65,3.52
"September, 2018",70.7,64,77.4,6.32
"August, 2018",78.2,70.8,85.6,6.06
"July, 2018",77.4,69.1,85.6,5.56
"June, 2018",70.7,62,79.4,3.51
"May, 2018",65,55.8,74.3,3.72
"April, 2018",47.6,39.2,56,4.69
"March, 2018",39.6,32.8,46.5,4.85
"February, 2018",40.9,32.7,49,6.09
"January, 2018",30.8,23,38.6,2.13
"December, 2017",35,29,41,1.91
"November, 2017",46.1,37.6,54.7,1.87
"October, 2017",63.4,54.8,72,4.44
"September, 2017",70,61.7,78.4,2.1
"August, 2017",74,66.1,81.9,3.28
"July, 2017",76.4,68.4,84.5,4.35
"June, 2017",71.5,62.8,80.2,4.29
"May, 2017",60.6,52.8,68.4,6.13
"April, 2017",55.7,47,64.4,4.13
"March, 2017",39.4,31.4,47.4,5.3
"February, 2017",41.1,33,49.3,1.91
"January, 2017",38.5,32.9,44.1,4.48
"December, 2016",38.8,32.3,45.4,3.16
"November, 2016",50.1,42,58.1,4.69
"October, 2016",58.8,50.3,67.3,4.06
"September, 2016",71.3,63.2,79.3,2.74
"August, 2016",79.1,71.2,87,1.12
"July, 2016",78.8,70.4,87.2,5.86
"June, 2016",71.9,62.6,81.3,2.05
"May, 2016",61.3,52.8,69.8,3.83
"April, 2016",51.5,42.1,60.9,1.59
"March, 2016",47.9,38.9,56.8,1.4
"February, 2016",37.5,29.3,45.6,4.33
"January, 2016",34.4,27.1,41.8,4.33
"December, 2015",49.9,43.2,56.6,4.86
"November, 2015",51.9,43.9,60,1.64
"October, 2015",57,48.2,65.7,4
"September, 2015",72.6,63.4,81.7,2.8
"August, 2015",77.8,68.9,86.7,2.59
"July, 2015",77.8,69.8,85.9,2.97
"June, 2015",70.7,62.6,78.8,5.06
"May, 2015",65.6,55.3,75.9,1.35
"April, 2015",52.2,42.8,61.7,1.88
"March, 2015",37.2,28.9,45.4,4.87
"February, 2015",23.6,14.8,32.4,2.28
"January, 2015",29.8,22.7,36.8,5.25
"December, 2014",40.4,34.8,46,6.66
