date,avg_temp,min_temp,max_temp,precipitation
"December, 2025",33.4,26,40.7,3.45
"November, 2025",46.6,39.1,54.1,1.95
"October, 2025",58.6,50.4,66.8,4.35
"September, 2025",70.4,61.9,78.8,2.56
"August, 2025",73.4,64,82.7,1.98
"July, 2025",80.4,72.1,88.8,4.64
"June, 2025",73.4,65.4,81.4,2.59
"May, 2025",63,55.1,70.9,5.92
"April, 2025",54.8,45.5,64,3.18
"March, 2025",47.1,37.4,56.8,4.28
"February, 2025",35.4,29,41.9,2.8
"January, 2025",31.2,24.9,37.6,0.72
"December, 2024",37.3,30.3,44.2,4.36
"November, 2024",51.4,43,59.8,3.09
"October, 2024",60.3,49.9,70.6,0
"September, 2024",68.9,61.1,76.7,1.09
"August, 2024",75.9,67.3,84.5,7.92
"July, 2024",80,71.6,88.3,3.93
"June, 2024",75.6,66,85.2,1.93
"May, 2024",65,56.7,73.2,3.22
"April, 2024",53.6,44.8,62.4,4.13
"March, 2024",47.2,39.3,55.1,8.49
"February, 2024",39.1,31.8,46.4,1.92
"January, 2024",36.8,31.1,42.4,5.81
"December, 2023",43.8,37.3,50.2,8
"November, 2023",45.8,37.3,54.2,2.76
"October, 2023",60.8,52.6,69.1,3.65
"September, 2023",70,62.5,77.6,10.65
"August, 2023",75.1,67.3,83,5.5
"July, 2023",79.2,70.9,87.5,5.96
"June, 2023",69.9,60.6,79.2,2.46
"May, 2023",61.6,51.2,72.1,2.39
"April, 2023",56.3,46.4,66.3,6.6
"March, 2023",43.7,35.4,51.9,3.37
"February, 2023",40.3,31.5,49.1,1.42
"January, 2023",43.4,37.1,49.6,4.35
"December, 2022",37.7,30.2,45.1,4.82
"November, 2022",50,41.5,58.4,2.75
"October, 2022",56.2,47.6,64.7,6.33
"September, 2022",69.7,60.8,78.7,3.35
"August, 2022",79.5,70.4,88.7,2.24
"July, 2022",80.7,71.3,90.1,1.49
"June, 2022",71.8,62.4,81.3,2.9
"May, 2022",64.3,55.4,73.2,5.63
"April, 2022",52.1,43.4,60.9,4.42
"March, 2022",44.8,35.6,54,2.42
"February, 2022",37,27.2,46.7,2.92
"January, 2022",30.2,22.7,37.7,3.89
"December, 2021",42.9,36.5,49.3,1.4
"November, 2021",45.9,37.4,54.3,0.97
"October, 2021",63,55.7,70.2,5.99
"September, 2021",70.9,63.1,78.8,9.54
"August, 2021",77.8,70.4,85.2,7.72
"July, 2021",77.5,69.2,85.8,8.14
"June, 2021",73.6,63.9,83.3,3.61
"May, 2021",62.4,52.2,72.5,4.51
"April, 2021",53.6,43.6,63.6,2.42
"March, 2021",44.9,35.4,54.3,3.19
"February, 2021",33.4,27.7,39.1,4.64
"January, 2021",35.2,29,41.4,2.3
"December, 2020",38.8,31.8,45.8,4.8
"November, 2020",51.4,42.1,60.6,3.45
"October, 2020",58.5,51.2,65.8,5.32
"September, 2020",69.1,60.7,77.4,3.99
"August, 2020",77.5,69.3,85.7,4.07
"July, 2020",80.7,72.2,89.1,9.16
"June, 2020",73.5,63.8,83.2,2.88
"May, 2020",60.3,51.1,69.5,1.95
"April, 2020",49.7,41.6,57.8,3.87
"March, 2020",47.4,39.2,55.7,3.83
"February, 2020",40.3,33.4,47.2,2.72
"January, 2020",39.1,31.8,46.4,1.9
"December, 2019",37.7,31.2,44.3,6.67
"November, 2019",43.3,35.3,51.2,1.81
"October, 2019",60.1,52.6,67.5,6.9
"September, 2019",70.6,61.4,79.9,1.3
"August, 2019",76,67.8,84.1,5.02
"July, 2019",80,71.1,88.8,6.82
"June, 2019",71.8,63,80.6,5.6
"May, 2019",62.7,54.4,71,7.42
"April, 2019",55.1,46.3,63.8,3.96
"March, 2019",40.7,32.4,48.9,3.8
"February, 2019",36.1,29,43.2,3.6
"January, 2019",32.9,25,40.7,4.22
"December, 2018",39.3,32.8,45.9,6.47
"November, 2018",43.9,37,50.8,8.24
"October, 2018",57.5,50,64.9,3.4
"September, 2018",71.1,64.7,77.6,6.69
"August, 2018",78.4,70.4,86.3,5.82
"July, 2018",77.9,68.9,86.9,5.96
"June, 2018",71.4,62.2,80.5,2.75
"May, 2018",66.1,56.7,75.4,4.69
"April, 2018",48.6,39.8,57.4,5.41
"March, 2018",39.8,32.8,46.8,4.81
"February, 2018",41,33.1,49,5.97
"January, 2018",31,22.7,39.4,2.13
"December, 2017",35,28.7,41.2,1.72
"November, 2017",46.1,37.3,54.9,1.6
"October, 2017",63.3,54.4,72.2,5.01
"September, 2017",70.5,61.9,79.1,1.95
"August, 2017",73.6,65.4,81.7,5.04
"July, 2017",76.8,68.7,85,4.29
"June, 2017",72,62.8,81.3,4.43
"May, 2017",61,53.1,68.8,7.03
"April, 2017",56.6,47.6,65.6,4.22
"March, 2017",39.4,31.2,47.6,4.29
"February, 2017",41.3,33,49.7,1.98
"January, 2017",38.3,32.7,44,4.55
"December, 2016",38.2,31.2,45.2,3.19
"November, 2016",49.3,40.7,57.8,4.06
"October, 2016",58.6,50.2,67.1,3.34
"September, 2016",71.7,62.8,80.6,2.29
"August, 2016",79,70.3,87.7,1.41
"July, 2016",79,70.2,87.8,6.59
"June, 2016",72.2,62.3,82.1,2.32
"May, 2016",61.9,53.3,70.5,3.98
"April, 2016",52.3,42,62.6,1.49
"March, 2016",48.4,38.8,58,1.45
"February, 2016",37.5,29,45.9,4.04
"January, 2016",33.8,25.8,41.7,3.94
"December, 2015",49.8,42.9,56.6,4.69
"November, 2015",51.8,43.6,59.9,1.64
"October, 2015",56.9,47.7,66.1,3.83
"September, 2015",73.2,63.5,82.9,2.79
"August, 2015",77.6,67.6,87.6,1.95
"July, 2015",77.9,69.3,86.4,2.6
"June, 2015",71.2,63.1,79.3,6.35
"May, 2015",67,56.1,77.8,2.76
"April, 2015",52.8,42.9,62.6,2.01
"March, 2015",37.1,28.4,45.7,4.63
"February, 2015",23.3,14.6,32,2.13
"January, 2015",29.2,22,36.5,4.52
"December, 2014",40.4,34.6,46.2,5.21
"November, 2014",44.1,36.4,51.7,4.31
"October, 2014",59.2,51.4,67,4.63
"September, 2014",69.2,60.3,78.2,1.54
"August, 2014",73.4,64.2,82.5,2.16
"July, 2014",76,67.4,84.6,5.8
"June, 2014",71.8,62.6,81,4.31
"May, 2014",63,54.1,71.9,5.56
"April, 2014",51.2,41.1,61.3,5.47
"March, 2014",36.8,28.2,45.4,3.75
"February, 2014",30.4,23,38,4.89
"January, 2014",27.9,19.6,36.1,2.88
"December, 2013",37.6,30.6,44.6,4.68
"November, 2013",44.7,36.5,52.9,3.17
"October, 2013",59.2,50.5,68,0.63
"September, 2013",66.7,56.7,76.7,1.9
"August, 2013",73.8,65.5,82,4.14
"July, 2013",80,72.4,87.5,4.02
"June, 2013",72.6,63.8,81.3,8.62
"May, 2013",61.9,52.6,71.1,5.31
"April, 2013",52.2,43,61.5,1.75
"March, 2013",39.9,32.7,47,2.81
"February, 2013",34,27.5,40.6,3.35
"January, 2013",35.7,28.9,42.6,2.56
"December, 2012",41.5,35,48,5.28
"November, 2012",43.3,35.9,50.6,1.44
"October, 2012",58.6,51.4,65.8,3.97
"September, 2012",69.2,60.6,77.7,3.55
"August, 2012",76.7,68,85.4,3.55
"July, 2012",79.6,70.3,88.9,2.86
"June, 2012",71.4,62.4,80.5,4.78
"May, 2012",65.1,57.3,73,4.76
"April, 2012",54.2,44.1,64.2,3.11
"March, 2012",50.7,41.5,59.8,1.26
"February, 2012",40.6,32.6,48.4,1.17
"January, 2012",37.2,29.2,45.2,2.94
"December, 2011",42.4,34.1,50.7,4.4
"November, 2011",50.8,41.6,59.9,3.55
"October, 2011",57.7,49.3,66.1,5.56
"September, 2011",70.4,63.6,77.3,7.35
"August, 2011",75.6,67,84.2,18.56
"July, 2011",80.5,70.8,90.3,2.5
"June, 2011",73.2,64.2,82.2,3.37
"May, 2011",64.2,55.6,72.7,4.26
"April, 2011",54.3,45.5,63,5.8
"March, 2011",42.6,34.1,51.2,6
"February, 2011",35.5,26.1,44.9,3.33
"January, 2011",29.3,22.2,36.3,4.15
"December, 2010",32.8,26.1,39.4,4.09
"November, 2010",47,39,55,2.08
"October, 2010",58,49.2,66.8,4.32
"September, 2010",70.7,61.5,80,3.61
"August, 2010",76.6,68,85,2.83
"July, 2010",80.8,70.9,90.7,2.55
"June, 2010",75.3,65.6,85.1,2.48
"May, 2010",65,55.1,75,2.91
"April, 2010",56.5,45.7,67.3,2.85
"March, 2010",47.3,38.8,55.8,10.16
"February, 2010",33.1,27.1,39.1,5.26
"January, 2010",32.7,25.4,40,2.13
"December, 2009",35.7,28.4,43.1,6.82
"November, 2009",51.1,44.2,58,1.32
"October, 2009",55,47,63,5.53
"September, 2009",66.6,58.5,74.8,2.37
"August, 2009",76.6,68.6,84.6,4.86
"July, 2009",73.5,64.5,82.5,5.49
"June, 2009",68.4,60.9,76,7.51
"May, 2009",62.3,53.4,71.2,3.97
"April, 2009",53.2,43.8,62.7,4.25
"March, 2009",41.4,32.8,50,1.66
"February, 2009",36.3,27.2,45.4,0.61
"January, 2009",28,21.1,34.9,2.92
"December, 2008",37.7,29.8,45.7,6.16
"November, 2008",45.4,38.6,52.3,2.96
"October, 2008",55.2,45.7,64.7,3.21
"September, 2008",69.2,60.9,77.4,6.98
"August, 2008",73.2,63.2,83.1,2.79
"July, 2008",78,68.8,87.1,3.52
"June, 2008",74.2,64.2,84.1,3.98
"May, 2008",58.9,49,68.8,4.03
"April, 2008",53.5,44.1,62.9,2.71
"March, 2008",42,33.3,50.7,4.31
"February, 2008",35.8,27.6,44,5.57
"January, 2008",35.8,28.2,43.5,2.19
"December, 2007",36.8,30.8,42.8,5.12
"November, 2007",44.8,37,52.6,2.46
"October, 2007",63.6,55.2,71.9,4.82
"September, 2007",69.7,60,79.2,1.39
"August, 2007",74.5,66.2,82.8,5.89
"July, 2007",75.2,66.7,83.6,6.3
"June, 2007",71.8,62.4,81.3,4.54
"May, 2007",64.1,53.2,75.1,1.87
"April, 2007",49.5,41,57.9,9.84
"March, 2007",41.4,31.3,51.6,4.76
"February, 2007",27.8,20.9,34.8,1.69
"January, 2007",37.3,30.1,44.6,3.35
"December, 2006",43.2,35.2,51.3,2.28
"November, 2006",51.1,43.9,58.2,6.14
"October, 2006",55.4,46.3,64.5,6.78
"September, 2006",66,58,74,4.17
"August, 2006",75.9,67.2,84.5,3.37
"July, 2006",78.3,69.4,87.2,5.13
"June, 2006",71.3,63.1,79.4,7.39
"May, 2006",62.4,52.7,72.1,3.58
"April, 2006",54.4,43.9,64.9,4.09
"March, 2006",42.2,33.6,50.9,0.92
"February, 2006",35,27,43.1,1.98
"January, 2006",39.7,31.4,48.1,5
"December, 2005",34.2,27.2,41.1,3.76
"November, 2005",49,39.8,58.3,3.98
"October, 2005",57.5,50.6,64.4,13.74
"September, 2005",72.3,62.4,82.2,1.43
"August, 2005",78.8,70.5,87.1,0.96
"July, 2005",77.4,69.3,85.5,4.57
"June, 2005",73.3,64,82.6,3.37
"May, 2005",58,48.5,67.4,1.98
"April, 2005",53.5,42.9,64,3.87
"March, 2005",38,29.9,46.1,4.33
"February, 2005",35.4,27.6,43.2,2.51
"January, 2005",30.9,24,37.9,4.26
"December, 2004",37.2,29.4,44.9,3.85
"November, 2004",47.8,39.8,55.9,4.43
"October, 2004",55.4,47.7,63,1.3
"September, 2004",69.3,61,77.6,8.46
"August, 2004",73.9,66.1,81.7,4.18
"July, 2004",74.2,66.6,81.8,8.95
"June, 2004",70.8,61.7,79.9,2.98
"May, 2004",65.2,55.4,74.8,4.28
"April, 2004",52.6,43.1,62.2,5.22
"March, 2004",43.1,35.1,51.2,3.15
"February, 2004",34.3,26,42.7,2.65
"January, 2004",25.2,18.4,32.2,2.15
"December, 2003",36.9,29.3,44.4,5.48
"November, 2003",49.5,41.8,57.3,4.31
"October, 2003",54.5,45.5,63.5,4.53
"September, 2003",68.1,61,75.3,5.57
"August, 2003",76.6,68.8,84.4,6.28
"July, 2003",76.1,67.6,84.7,3.21
"June, 2003",68.4,60.1,76.7,9.23
"May, 2003",57.8,49.9,65.6,3.92
"April, 2003",48.8,40.1,57.5,3.06
"March, 2003",42,31.9,52.1,4.21
"February, 2003",29.2,22.3,36.2,4.6
"January, 2003",27.4,20.8,34,2.78
"December, 2002",35,28,42,4.32
"November, 2002",44.8,37.4,52.3,4.59
"October, 2002",55.2,47.7,62.7,6.91
"September, 2002",69.6,60.3,79,4.96
"August, 2002",76.9,67.5,86.3,5.03
"July, 2002",78.3,68.7,87.9,1.18
"June, 2002",71.2,61.3,81,4.64
"May, 2002",59.6,49.6,69.7,4.31
"April, 2002",54.7,44.8,64.5,3.63
"March, 2002",43.5,34,52.9,4.02
"February, 2002",39.8,30.4,49.1,0.69
"January, 2002",39.1,31.5,46.6,2
"December, 2001",43.2,35.3,51.2,2.24
"November, 2001",51.2,41.6,60.8,0.92
"October, 2001",57.2,47,67.5,0.63
"September, 2001",66.8,57.2,76.4,4.01
"August, 2001",77.5,68.3,86.6,3.28
"July, 2001",73,63.3,82.7,2.81
"June, 2001",72.5,63.4,81.6,5.13
"May, 2001",62.6,53,72.2,3.04
"April, 2001",52.4,42.5,62.2,1.74
"March, 2001",39,31.8,46.3,6.95
"February, 2001",35.5,27.4,43.6,2.19
"January, 2001",32.3,24.9,39.7,2.93
"December, 2000",30.7,22.9,38.4,3.96
"November, 2000",44.9,37.1,52.8,3.5
"October, 2000",56.4,46.5,66.3,0.63
"September, 2000",65.9,57,74.8,4.49
"August, 2000",72.5,64.6,80.4,4.63
"July, 2000",72.4,64.2,80.7,6.72
"June, 2000",71.2,62.2,80.2,3.33
"May, 2000",62.9,53.7,72.2,5.06
"April, 2000",50.3,41.9,58.7,3.76
"March, 2000",46.3,36.8,55.8,3.73
"February, 2000",36.6,29,44.2,1.82
"January, 2000",31.3,23.3,39.3,2.9
"December, 1999",39.1,31.5,46.7,2.95
"November, 1999",49.8,41.2,58.4,2.49
"October, 1999",54.9,45.1,64.6,3.12
"September, 1999",68.7,60.4,77.1,9.88
"August, 1999",75.2,66.1,84.2,4.98
"July, 1999",80.2,70.3,90.1,0.9
"June, 1999",72.8,63,82.6,0.76
"May, 1999",61.8,52.4,71.2,3.74
"April, 1999",52.3,41.9,62.6,1.92
"March, 1999",41.6,32.2,51,4.45
"February, 1999",37.2,29.1,45.2,3.11
"January, 1999",33.6,25.3,42,7.45
"December, 1998",42.1,34,50.1,0.99
"November, 1998",47.1,38.3,55.9,1.11
"October, 1998",57.1,48.5,65.7,2.24
"September, 1998",69.6,59.7,79.4,2.69
"August, 1998",76,66.6,85.5,3.29
"July, 1998",76.3,67.1,85.6,1.2
"June, 1998",69,60.9,77.2,5.71
"May, 1998",63.6,54.3,72.8,6.36
"April, 1998",52.8,43.3,62.3,5.71
"March, 1998",44.1,36.1,52.1,4.67
"February, 1998",40.1,33.1,47.2,5.14
"January, 1998",39.9,33.1,46.8,4.94
"December, 1997",37.5,30.5,44.5,4.27
"November, 1997",43.6,36.6,50.6,4.35
"October, 1997",55.9,46.6,65.2,2.39
"September, 1997",66.1,56.8,75.4,2.3
"August, 1997",72.6,63.4,81.7,4.4
"July, 1997",75.5,65.3,85.7,6.58
"June, 1997",69.7,59.8,79.6,2.6
"May, 1997",58.2,48.4,68,3.51
"April, 1997",49.8,39.8,59.8,4.18
"March, 1997",41.3,32.8,49.9,4.41
"February, 1997",39.2,30.8,47.5,2.28
"January, 1997",31.1,23,39.2,3.53
"December, 1996",40.2,33.6,46.8,7.46
"November, 1996",42.1,34.4,49.9,2.71
"October, 1996",55.6,46.6,64.6,7.59
"September, 1996",67.7,59.8,75.6,5.85
"August, 1996",73.5,64.9,82.1,3
"July, 1996",72.9,65.1,80.7,8.11
"June, 1996",71,62.2,79.7,4.75
"May, 1996",59.3,49.9,68.8,2.86
"April, 1996",51.1,42.1,60.2,5.01
"March, 1996",37.9,28.6,47.1,4.02
"February, 1996",33,25.4,40.7,2.09
"January, 1996",30,22.3,37.7,5.77
"December, 1995",31.6,25,38.2,2.26
"November, 1995",42.6,34.6,50.4,5.56
"October, 1995",59.8,49.9,69.7,5.87
"September, 1995",67.2,57.9,76.4,3.94
"August, 1995",76.2,65.5,86.9,0.73
"July, 1995",77.4,68.8,86,5.97
"June, 1995",70.9,61.7,80.1,2.05
"May, 1995",60.3,50.8,69.8,3.18
"April, 1995",50.1,40.2,60,1.93
"March, 1995",44,35.4,52.5,1.69
"February, 1995",29.8,21.5,38.2,2.69
"January, 1995",36.9,30.2,43.5,3.37
"December, 1994",40.6,32.4,48.7,2.9
