date,avg_temp,min_temp,max_temp,precipitation
"December, 2025",33.5,26.5,40.6,3.35
"November, 2025",46.7,39.5,53.8,1.96
"October, 2025",58.7,50.8,66.5,4.39
"September, 2025",70.5,62.3,78.6,2.62
"August, 2025",74.1,65.1,83,1.87
"July, 2025",80.3,71.9,88.7,3.6
"June, 2025",73.6,65.6,81.6,2.57
"May, 2025",62.6,54.8,70.4,5.79
"April, 2025",54.6,45.5,63.8,3.14
"March, 2025",46.7,37.2,56.3,4.7
"February, 2025",35,28.4,41.4,2.73
"January, 2025",31.4,25.2,37.6,0.63
"December, 2024",37.9,31.4,44.4,4.76
"November, 2024",51.3,43.2,59.3,3.26
"October, 2024",60.7,51.1,70.3,0.01
"September, 2024",68.9,61,76.6,1.23
"August, 2024",75.9,67.7,84,7.65
"July, 2024",79.8,71.5,88,3.84
"June, 2024",75.4,66.2,84.6,2.09
"May, 2024",64.8,56.6,73,3.56
"April, 2024",53.8,45.2,62.3,3.8
"March, 2024",47.2,39.3,55.1,9.08
"February, 2024",39,31.8,46.1,1.97
"January, 2024",36.7,31.2,42.3,5.65
"December, 2023",43.9,37.9,49.9,7.24
"November, 2023",45.9,38.1,53.8,2.88
"October, 2023",60.7,53,68.4,3.98
"September, 2023",69.6,62.3,76.9,11.81
"August, 2023",75,67.5,82.4,6.14
"July, 2023",79.2,70.9,87.4,5.31
"June, 2023",69.9,61,78.8,1.83
"May, 2023",61.8,51.8,71.7,2.06
"April, 2023",56.2,46.7,65.7,7.14
"March, 2023",43.7,36,51.4,3.36
"February, 2023",39.9,31.2,48.5,1.37
"January, 2023",42.9,36.8,49,4.37
"December, 2022",37.8,30.8,44.7,5.21
"November, 2022",50,42.2,57.9,3.12
"October, 2022",56.6,48.6,64.6,5.69
"September, 2022",69.6,61.2,77.8,3.85
"August, 2022",79.5,71.1,87.9,1.75
"July, 2022",80,71.2,88.9,2.98
"June, 2022",71.5,62.6,80.4,3.13
"May, 2022",64,55.2,72.9,4.96
